rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
56522;938979648;LA MER DU CHENE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;129 RUE LAURISTON 75016 PARIS;TIEDE;40;40.0
56523;938981891;MES ASS;PRIVE;PRIV_BUREAU;1;1;PARIS;75;3 RUE STENDHAL 75020 PARIS;TIEDE;40;40.0
56524;939008082;MEA HOLDING;PRIVE;PRIV_BUREAU;1;1;SAINT-DENIS;93;16 RUE JESSE OWENS 93200 SAINT-DENIS;TIEDE;40;40.0
56525;939015186;AG2R EUROPE;PRIVE;IMMO_AGENCE;1;1;PARIS;75;29 PLACE DU MARCHE SAINT-HONORE 75001 PARIS;TIEDE;40;40.0
56526;939018958;PFL GV;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;120 AVENUE DES CHAMPS ELYSEES 75008 PARIS;TIEDE;40;40.0
56527;939025870;TWENTYTWO AM;PRIVE;IMMO_AGENCE;1;1;PARIS;75;13-15 RUE DE LA BAUME 75008 PARIS;TIEDE;40;40.0
56528;939026134;FUTURE;PRIVE;PRIV_RESTAURANT;1;1;NEUILLY-SUR-SEINE;92;14 RUE BEFFROY 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56529;939044129;AYET;PRIVE;PRIV_BUREAU;1;1;CHARENTON-LE-PONT;94;8 B RUE CAMILLE MOUQUET 94220 CHARENTON-LE-PONT;TIEDE;40;40.0
56530;939051835;MAISON DE SANTE PLURIPROFESSIONNELLE DE SEVRAN -LIVRY (MSP DE SEVRAN-LIVRY);PRIVE;PRIV_SANTE_CABINET;1;1;SEVRAN;93;40 AVENUE DE LIVRY 93270 SEVRAN;TIEDE;40;40.0
56531;939058988;MATAAN (LA BELLE MAISON);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;88 RUE LEPIC 75018 PARIS;TIEDE;40;40.0
56532;939066635;LE CHERCHE-MIDI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;22 RUE DU CHERCHE-MIDI 75006 PARIS;TIEDE;40;40.0
56533;939087946;FWF IMMO;PRIVE;PRIV_BUREAU;1;1;PIERREFITTE-SUR-SEINE;93;ETG2 APPT B205 B 197 AVENUE ELISEE RECLUS 93380 PIERREFITTE-SUR-SEINE;TIEDE;40;40.0
56534;939128641;KCOOKING;PRIVE;PRIV_RESTAURANT;1;1;COURBEVOIE;92;46 BOULEVARD DE VERDUN 92400 COURBEVOIE;TIEDE;40;40.0
56535;939158622;GREGOIRE LE COZ (GLC SERVICES);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;118 RUE DE VAUGIRARD 75006 PARIS;TIEDE;40;40.0
56536;939170445;DYLAN GUION (ASTRALCONNECT);PRIVE;PRIV_BUREAU;1;1;PARIS;75;61 RUE DE LYON 75012 PARIS;TIEDE;40;40.0
56537;939217428;ROSE DIABATE (ROSE);PRIVE;PRIV_BUREAU;1;1;IVRY-SUR-SEINE;94;86 AVENUE MAURICE THOREZ 94200 IVRY-SUR-SEINE;TIEDE;40;40.0
56538;939226122;ISCHIA CIPRIANI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;14 RUE CAUCHY 75015 PARIS;TIEDE;40;40.0
56539;939235511;CREDISSIME 9;PRIVE;IMMO_AGENCE;1;1;PARIS;75;35 RUE BRUNEL 75017 PARIS;TIEDE;40;40.0
56540;939285458;FACILE PAPIERS;PRIVE;PRIV_BUREAU;1;1;PANTIN;93;LOT 120 100 AVENUE DU GENERAL LECLERC 93500 PANTIN;TIEDE;40;40.0
56541;939288163;CHARLOTTE MAETZ MENAOUIL (MAETZ);PRIVE;PRIV_BUREAU;1;1;LES LILAS;93;BAT C 7 ALL G ANTHONIOZ DE GAULLE 93260 LES LILAS;TIEDE;40;40.0
56542;939293932;LES OLIVIERS TB;PRIVE;PRIV_RESTAURANT;1;1;LEVALLOIS-PERRET;92;3 RUE LOUISE MICHEL 92300 LEVALLOIS-PERRET;TIEDE;40;40.0
56543;939294773;SB HOLDING (SB HOLDING);PRIVE;PRIV_BUREAU;1;1;BEZONS;95;110 RUE EDOUARD VAILLANT 95870 BEZONS;TIEDE;40;40.0
56544;939303897;RUBENS IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;36 AVENUE DE WAGRAM 75008 PARIS;TIEDE;40;40.0
56545;939311312;ARJUNE PARARAJASEGARAN;PRIVE;IMMO_AGENCE;1;1;SAINT-OUEN-SUR-SEINE;93;3 VOIE RINO DELLA NEGRA 93400 SAINT-OUEN-SUR-SEINE;TIEDE;40;40.0
56546;939339958;RETRO FOODING;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;2 RUE DE TOCQUEVILLE 75017 PARIS;TIEDE;40;40.0
56547;939342333;APPART & VOUS;PRIVE;IMMO_AGENCE;1;1;LEVALLOIS-PERRET;92;2 RUE MARYSE HILSZ 92300 LEVALLOIS-PERRET;TIEDE;40;40.0
56548;939362141;ADFB 2;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;29 B RUE DU CHATEAU D'EAU 75010 PARIS;TIEDE;40;40.0
56549;939366159;LMDG CONSULTING;PRIVE;IMMO_AGENCE;1;1;PARIS;75;180 RUE LA FAYETTE 75010 PARIS;TIEDE;40;40.0
56550;939373379;SAS SAINT AUGUSTIN;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;8-12 PLACE SAINT-AUGUSTIN 75008 PARIS;TIEDE;40;40.0
56551;939399747;YES PRESENT (PRESENT);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;62 RUE DU FAUBOURG SAINT-MARTIN 75010 PARIS;TIEDE;40;40.0
56552;939414082;VOS COURSES RAPIDES (CARREFOUR CITY);PRIVE;PRIV_COMMERCE;1;1;PARIS;75;7-21 RUE SARRETTE 75014 PARIS;TIEDE;40;40.0
56553;939425989;CROUTON SD;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;248 RUE SAINT-DENIS 75002 PARIS;TIEDE;40;40.0
56554;939429361;HUGO TOCCHINI;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;44 RUE MADELEINE MICHELIS 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56555;939463618;LZ CORP;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;51 RUE BLANCHE 75009 PARIS;TIEDE;40;40.0
56556;939480307;FRANCOISE BREYSSE (BREYSSE);PRIVE;IMMO_AGENCE;1;1;PARIS;75;BOITE AUX LETTRES 11 37 RUE DU CHATEAU LANDON 75010 PARIS;TIEDE;40;40.0
56557;939499604;ONZPIGE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;28 RUE DE PONTHIEU 75008 PARIS;TIEDE;40;40.0
56558;939538534;YVES-ANDRE DOO KINGUE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;108 RUE DE LA FOLIE-MERICOURT 75011 PARIS;TIEDE;40;40.0
56559;939546685;ANTOINE NGUYEN (NGUYEN);PRIVE;PRIV_SANTE_CABINET;1;1;CHOISY-LE-ROI;94;2EME ETAGE 1 BOULEVARD DES ALLIES 94600 CHOISY-LE-ROI;TIEDE;40;40.0
56560;939555629;DS IMMO;PRIVE;IMMO_AGENCE;1;1;LEVALLOIS-PERRET;92;132 RUE DU PRESIDENT WILSON 92300 LEVALLOIS-PERRET;TIEDE;40;40.0
56561;939560595;2SBK;PRIVE;IMMO_AGENCE;1;1;PARIS;75;62 RUE DE LANCRY 75010 PARIS;TIEDE;40;40.0
56562;939582367;OFFICELIB (OFFICELIB);PRIVE;PRIV_BUREAU;1;1;PARIS;75;40 RUE ALEXANDRE DUMAS 75011 PARIS;TIEDE;40;40.0
56563;939593000;SNOW LION;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;40 RUE LEPIC 75018 PARIS;TIEDE;40;40.0
56564;939594420;BENSI CONSULTING;PRIVE;IMMO_AGENCE;1;1;PARIS;75;91 RUE JOUFFROY D'ABBANS 75017 PARIS;TIEDE;40;40.0
56565;939596037;MIDELI;PRIVE;PRIV_RESTAURANT;1;1;CLICHY;92;50 RUE PALLOY 92110 CLICHY;TIEDE;40;40.0
56566;939596789;AGPLUS IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;48 RUE MSTISLAV ROSTROPOVITCH 75017 PARIS;TIEDE;40;40.0
56567;939600888;ALPI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;103 RUE LEGENDRE 75017 PARIS;TIEDE;40;40.0
56568;939603668;DC2R;PRIVE;IMMO_AGENCE;1;1;PARIS;75;7 RUE DE MAGDEBOURG 75016 PARIS;TIEDE;40;40.0
56569;939615589;THIEN Y (LANG VIET);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;1 RUE DANCOURT 75018 PARIS;TIEDE;40;40.0
56570;939634440;MESSIKEL;PRIVE;IMMO_AGENCE;1;1;PARIS;75;48 RUE DE LA FEDERATION 75015 PARIS;TIEDE;40;40.0
56571;939637450;KALOWATT;PRIVE;PRIV_BUREAU;1;1;PARIS;75;5 RUE WURTZ 75013 PARIS;TIEDE;40;40.0
56572;939641486;ATHENA;PRIVE;PRIV_BUREAU;1;1;PARIS;75;3 RUE MEYNADIER 75019 PARIS;TIEDE;40;40.0
56573;939657318;FOX VISION EUROPE;PRIVE;IMMO_AGENCE;1;1;PARIS;75;47 BOULEVARD DE COURCELLES 75008 PARIS;TIEDE;40;40.0
56574;939680807;2D MARKET;PRIVE;PRIV_COMMERCE;1;1;PARIS;75;6 BOULEVARD JOURDAN 75014 PARIS;TIEDE;40;40.0
56575;939682225;ARKANE GROUP;PRIVE;IMMO_AGENCE;1;1;PARIS;75;31 RUE DE NAVARIN 75009 PARIS;TIEDE;40;40.0
56576;939691507;SOLUTION PAIEPRO;PRIVE;PRIV_BUREAU;1;1;PARIS;75;9 RUE DE WATTIGNIES 75012 PARIS;TIEDE;40;40.0
56577;939703468;SJL;PRIVE;IMMO_AGENCE;1;1;PARIS;75;115 RUE DE LA FAISANDERIE 75016 PARIS;TIEDE;40;40.0
56578;939738134;QUENTIN ACOBAS (ACOBAS QUENTIN);PRIVE;PRIV_RESTAURANT;1;1;COURBEVOIE;92;7 RUE PAUL-NAPOLEON ROINARD 92400 COURBEVOIE;TIEDE;40;40.0
56579;939745139;ROASTED (ROASTED);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;33 B RUE CHARLOT 75003 PARIS;TIEDE;40;40.0
56580;939757993;BROCHACHA;PRIVE;PRIV_BUREAU;1;1;PANTIN;93;24 RUE GABRIELLE JOSSERAND 93500 PANTIN;TIEDE;40;40.0
56581;939761946;L'UMAC (L'UNITE MEDICALE DES ALLIES DE CHOISY);PRIVE;PRIV_SANTE_CABINET;1;1;CHOISY-LE-ROI;94;1 BOULEVARD DES ALLIES 94600 CHOISY-LE-ROI;TIEDE;40;40.0
56582;939763678;NOMIZ;PRIVE;PRIV_BUREAU;1;1;PARIS;75;83 AVENUE D'ITALIE 75013 PARIS;TIEDE;40;40.0
56583;939781894;DYNAMIQUE CONSULTING (DM CONSEILS);PRIVE;IMMO_AGENCE;1;1;PARIS;75;3 RUE DEBELLEYME 75003 PARIS;TIEDE;40;40.0
56584;939812004;MOUHSIN BENMENNI (BENMENNI MH);PRIVE;PRIV_BUREAU;1;1;PARIS;75;29 RUE TRAVERSIERE 75012 PARIS;TIEDE;40;40.0
56585;939824785;LUXURY DIGITAL AGENCY;PRIVE;IMMO_AGENCE;1;1;PARIS;75;81 AVENUE KLEBER 75016 PARIS;TIEDE;40;40.0
56586;939827192;VILLAGE SIMON;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;22 RUE DE LA TERRASSE 75017 PARIS;TIEDE;40;40.0
56587;939827903;GLADYS JOHNSON;PRIVE;PRIV_BUREAU;1;1;PARIS;75;BATIMENT A APPARTEMENT B43 204 RUE DE BELLEVILLE 75020 PARIS;TIEDE;40;40.0
56588;939838918;DANTES IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;10 VILLA MEQUILLET 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56589;939852737;YANGDA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;22 RUE DE LANCRY 75010 PARIS;TIEDE;40;40.0
56590;939857306;MOHAMED AMINE BOULAHIA;PRIVE;PRIV_SANTE_CABINET;1;1;NOISY-LE-GRAND;93;5 ALLEE D'AUBIGNE 93160 NOISY-LE-GRAND;TIEDE;40;40.0
56591;939886586;CLF PIZZA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;16 RUE DU MAINE 75014 PARIS;TIEDE;40;40.0
56592;939900312;BEM64;PRIVE;IMMO_AGENCE;1;1;PARIS;75;15 BOULEVARD DU PALAIS 75004 PARIS;TIEDE;40;40.0
56593;939905642;BS PRO ESTATE;PRIVE;IMMO_AGENCE;1;1;PARIS;75;9 RUE DES COLONNES 75002 PARIS;TIEDE;40;40.0
56594;939920112;HAF 4;PRIVE;IMMO_AGENCE;1;1;PARIS;75;22 RUE NOTRE-DAME DE LORETTE 75009 PARIS;TIEDE;40;40.0
56595;939957080;SC FINANCE & IMMOBILIER;PRIVE;IMMO_AGENCE;1;1;PARIS;75;18 RUE CHAPPE 75018 PARIS;TIEDE;40;40.0
56596;939959615;O18;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;32 RUE MYRHA 75018 PARIS;TIEDE;40;40.0
56597;939970075;ALAIN TRAN;PRIVE;PRIV_SANTE_CABINET;1;1;MONTESSON;78;14 RUE MAURICE UTRILLO 78360 MONTESSON;TIEDE;40;40.0
56598;939980686;PROSTEI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;ANGLE 44 RUE SAINT-PAUL 85 RUE SAINT-ANTOINE 75004 PARIS;TIEDE;40;40.0
56599;939998571;TRANTRANFGSD;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;23 RUE DU FAUBOURG SAINT-DENIS 75010 PARIS;TIEDE;40;40.0
56600;940014996;COLIVING CITIZ (COLINVING CITIZ ET SMART COLOC);PRIVE;IMMO_AGENCE;1;1;PARIS;75;6 RUE D'ARMAILLE 75017 PARIS;TIEDE;40;40.0
56601;940017379;NOVADIMMO;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;99 AVENUE ACHILLE PERETTI 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56602;940044480;BHAGAVATHI;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;15 RUE CAIL 75010 PARIS;TIEDE;40;40.0
56603;940066038;AP HOLDING;PRIVE;PRIV_BUREAU;1;1;PARIS;75;2 T RUE DE L'ERMITAGE 75020 PARIS;TIEDE;40;40.0
56604;940099971;CANDICE LEBRUN;PRIVE;PRIV_BUREAU;1;1;SAINT-DENIS;93;65 BOULEVARD ORNANO 93200 SAINT-DENIS;TIEDE;40;40.0
56605;940113343;CGE CONSEIL;PRIVE;PRIV_BUREAU;1;1;PARIS;75;242 BOULEVARD VOLTAIRE 75011 PARIS;TIEDE;40;40.0
56606;940126758;OGS (OGS);PRIVE;PRIV_BUREAU;1;1;PARIS;75;35 SQUARE SAINT-CHARLES 75012 PARIS;TIEDE;40;40.0
56607;940130172;TS12;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;A L'ANGLE DU 37 35 AVENUE DES TERNES 75017 PARIS;TIEDE;40;40.0
56608;940135163;MAXIME HAN;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;125 RUE CAMBRONNE 75015 PARIS;TIEDE;40;40.0
56609;940147846;KGS DISTRIBUTION (CARREFOUR CITY);PRIVE;PRIV_COMMERCE;1;1;PANTIN;93;2 VOLTAIRE 93500 PANTIN;TIEDE;40;40.0
56610;940150147;SELARLU DU DOCTEUR IRINA COIN;PRIVE;PRIV_SANTE_CABINET;1;1;VINCENNES;94;4 ALLEE CHARLES V 94300 VINCENNES;TIEDE;40;40.0
56611;940152036;KYLLIAN LEVASSEUR;PRIVE;IMMO_AGENCE;1;1;PARIS;75;10 RUE FREDERIC MAGISSON 75015 PARIS;TIEDE;40;40.0
56612;940152796;VEP PIZZA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;72 RUE MARGUERITE DE ROCHECHOUART 75009 PARIS;TIEDE;40;40.0
56613;940153448;VEP TRATTORIA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;72 RUE MARGUERITE DE ROCHECHOUART 75009 PARIS;TIEDE;40;40.0
56614;940157506;SELECT BY G;PRIVE;IMMO_AGENCE;1;1;PARIS;75;CS 48756 75380 CEDEX 08 58 RUE DE MONCEAU 75008 PARIS;TIEDE;40;40.0
56615;940160542;MF HOLDING;PRIVE;PRIV_BUREAU;1;1;ARCUEIL;94;9 RUE SAINT JUST 94110 ARCUEIL;TIEDE;40;40.0
56616;940165632;N/C (LA TAVERNE DES JEUX);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;14 RUE DE QUATREFAGES 75005 PARIS;TIEDE;40;40.0
56617;940173230;DOCTEUR ISMAEL KHELIFA SELAS;PRIVE;PRIV_SANTE_CABINET;1;1;NOGENT-SUR-MARNE;94;3-5 AVENUE WATTEAU 94130 NOGENT-SUR-MARNE;TIEDE;40;40.0
56618;940177009;ESTELLE YANA (CHEKROUN) (EY SERVICES);PRIVE;PRIV_BUREAU;1;1;PANTIN;93;12 RUE GAMBETTA 93500 PANTIN;TIEDE;40;40.0
56619;940179641;JUNOT CHATEAUX ET PATRIMOINE;PRIVE;IMMO_AGENCE;1;1;PARIS;75;1 PLACE DE BRETEUIL 75007 PARIS;TIEDE;40;40.0
56620;940180383;CHARLY RABILLER (CHARLY RABILLER);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;KANDBAZ 1 RUE DE STOCKHOLM 75008 PARIS;TIEDE;40;40.0
56621;940186364;CHEZ CHRIS;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;4 RUE BORDA 75003 PARIS;TIEDE;40;40.0
56622;940219702;SDG RAM;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;40 RUE DE SAINT-QUENTIN 75010 PARIS;TIEDE;40;40.0
56623;940226152;MATISKA (LENGUE D'OR);PRIVE;PRIV_RESTAURANT;1;1;PUTEAUX;92;54 RUE JEAN JAURES 92800 PUTEAUX;TIEDE;40;40.0
56624;940242761;REGAL D'OR (CARREFOUR CITY);PRIVE;PRIV_COMMERCE;1;1;BOULOGNE-BILLANCOURT;92;157 RUE DE SILLY 92100 BOULOGNE-BILLANCOURT;TIEDE;40;40.0
56625;940247828;SELVA SAEZ CHURRARIN (SELVA SAEZ);PRIVE;PRIV_BUREAU;1;1;PARIS;75;17 RUE JEAN BEAUSIRE 75004 PARIS;TIEDE;40;40.0
56626;940255961;REPLIQUE ESTATE;PRIVE;IMMO_AGENCE;1;1;PARIS;75;60 RUE FRANCOIS IER 75008 PARIS;TIEDE;40;40.0
56627;940264971;ROSIE;PRIVE;PRIV_RESTAURANT;1;1;CLICHY;92;2 RUE VICTOR MERIC 92110 CLICHY;TIEDE;40;40.0
56628;940276140;SOPHIE MORITZ CONSTRUCTIONS ET MEDIATION (MAISON SESA);PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;28 RUE PAULINE BORGHESE 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56629;940278062;INES ABDEL MEGEID (IAM);PRIVE;PRIV_BUREAU;1;1;PANTIN;93;4 RUE DU GENERAL COMPANS 93500 PANTIN;TIEDE;40;40.0
56630;940282965;RAJA SEBTI;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;25 B RUE MADELEINE MICHELIS 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56631;940299845;AZ CONSULTING;PRIVE;PRIV_BUREAU;1;1;LA COURNEUVE;93;51 RUE DE GENEVE 93120 LA COURNEUVE;TIEDE;40;40.0
56632;940343544;LINDA BELHADJ;PRIVE;IMMO_AGENCE;1;1;LEVALLOIS-PERRET;92;112 RUE MARIUS AUFAN 92300 LEVALLOIS-PERRET;TIEDE;40;40.0
56633;940343718;LE LOOP;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;354 RUE DE VAUGIRARD 75015 PARIS;TIEDE;40;40.0
56634;940345176;NIGIRI FRANCE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;10 B RUE GEOFFROY-MARIE 75009 PARIS;TIEDE;40;40.0
56635;940404759;COMPTE BIEN FAIT;PRIVE;PRIV_BUREAU;1;1;LES LILAS;93;6 PLACE DU VEL D'HIV 93260 LES LILAS;TIEDE;40;40.0
56636;940419419;LASSARD CONSEILS;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;6 RUE DELABORDERE 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56637;940435084;SAS INSIA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;7 RUE PAUL BAUDRY 75008 PARIS;TIEDE;40;40.0
56638;940442551;KLINEN2K (K2K) (K2K);PRIVE;PRIV_BUREAU;1;1;BAGNOLET;93;57 RUE ROBESPIERRE 93170 BAGNOLET;TIEDE;40;40.0
56639;940443385;DECASTRE;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;65 AVENUE CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56640;940450448;LABABOCHA;PRIVE;PRIV_RESTAURANT;1;1;PARIS 08;75;5 COURS PAUL RICARD 75008 PARIS 08;TIEDE;40;40.0
56641;940453988;TDR15;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;61 AVENUE DE LA MOTTE-PICQUET 75015 PARIS;TIEDE;40;40.0
56642;940455439;RFM 10;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;12 BOULEVARD DE DENAIN 75010 PARIS;TIEDE;40;40.0
56643;940456379;NATHAN GOEPFERT;PRIVE;IMMO_AGENCE;1;1;PARIS;75;6 RUE ROBERT TURQUAN 75016 PARIS;TIEDE;40;40.0
56644;940465289;THEO NAZARKIEWICZ (FIX & GO);PRIVE;PRIV_BUREAU;1;1;PARIS;75;68 RUE DE TOLBIAC 75013 PARIS;TIEDE;40;40.0
56645;940468580;DOCTEUR LANGAGNE;PRIVE;PRIV_SANTE_CABINET;1;1;SCEAUX;92;18 SQUARE ROBINSON 92330 SCEAUX;TIEDE;40;40.0
56646;940473622;VLADIMIR IMBERT (IMBERT);PRIVE;PRIV_RESTAURANT;1;1;COURBEVOIE;92;12 AVENUE MALVESIN 92400 COURBEVOIE;TIEDE;40;40.0
56647;940477151;B.A.L.S.;PRIVE;PRIV_RESTAURANT;1;1;LEVALLOIS-PERRET;92;47 RUE LOUIS ROUQUIER 92300 LEVALLOIS-PERRET;TIEDE;40;40.0
56648;940482805;MIRABAUD REAL ESTATE (FRANCE);PRIVE;IMMO_AGENCE;1;1;PARIS;75;54 AVENUE HOCHE 75008 PARIS;TIEDE;40;40.0
56649;940510233;ABAITA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;70 RUE PIERRE DEMOURS 75017 PARIS;TIEDE;40;40.0
56650;940514185;KING AUM;PRIVE;PRIV_SANTE_CABINET;1;1;LE RAINCY;93;16 B ALLEE THIELLEMENT 93340 LE RAINCY;TIEDE;40;40.0
56651;940536279;KOZY SOUTH PIGALLE - ALL-WEEK BRUNCH & COFFEE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;54 RUE DES MARTYRS 75009 PARIS;TIEDE;40;40.0
56652;940538788;MB CONSULTING;PRIVE;PRIV_BUREAU;1;1;PARIS;75;15 RUE ETIENNE DOLET 75020 PARIS;TIEDE;40;40.0
56653;940564982;L'ARTISAN DU BONHEUR;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;60 RUE FRANCOIS IER 75008 PARIS;TIEDE;40;40.0
56654;940565658;FULL PLATE V2;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;11 RUE MASPERO 75016 PARIS;TIEDE;40;40.0
56655;940571748;DOLCE VITA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;17 PLACE SAINT-PIERRE 75018 PARIS;TIEDE;40;40.0
56656;940574379;ZAKARIA NOUI;PRIVE;PRIV_BUREAU;1;1;PARIS;75;CZ INSER ASAF N 070892 121 RUE MANIN 75019 PARIS;TIEDE;40;40.0
56657;940574668;ALIREZA PANAHI;PRIVE;PRIV_RESTAURANT;1;1;PARIS 17;75;BAL N93415 25 RUE DES RENAUDES 75017 PARIS 17;TIEDE;40;40.0
56658;940576440;ASTATE ADVISORY;PRIVE;IMMO_AGENCE;1;1;NEUILLY-SUR-SEINE;92;15 BOULEVARD PAUL-EMILE VICTOR 92200 NEUILLY-SUR-SEINE;TIEDE;40;40.0
56659;940581085;SOUHILA SLIMANI (ZOUBIR) (SWEAT DREAMS);PRIVE;PRIV_BUREAU;1;1;PARIS;75;18 BOULEVARD DE REUILLY 75012 PARIS;TIEDE;40;40.0
56660;940611718;DALINETTE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;3 RUE DANCOURT 75018 PARIS;TIEDE;40;40.0
56661;940611973;LAITH (LE KAZA MAZA);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;1 RUE DE L'ECOLE POLYTECHNIQUE 75005 PARIS;TIEDE;40;40.0
56662;940642267;LE PETIT VILLIERS;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;75 AVENUE DE VILLIERS 75017 PARIS;TIEDE;40;40.0
56663;940642572;PETIT BAL MARTYRS (PETIT BAL MARTYRS);PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;25 RUE DES MARTYRS 75009 PARIS;TIEDE;40;40.0
56664;940644933;BUONA TAVOLA;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;198 BOULEVARD MALESHERBES 75017 PARIS;TIEDE;40;40.0
56665;940654890;ICI DAMAS;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;4 RUE DANCOURT 75018 PARIS;TIEDE;40;40.0
56666;940678048;ROMAIN SUTTER;PRIVE;PRIV_RESTAURANT;1;1;NEUILLY SUR SEINE;92;BATIMENT E 3 ETAGE 149 AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE;TIEDE;40;40.0
56667;940683220;FUCKING GOOD CHOISEUL;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;68 PASSAGE CHOISEUL 75002 PARIS;TIEDE;40;40.0
56668;940688880;CLE EN MAIN;PRIVE;IMMO_AGENCE;1;1;PARIS;75;58 RUE DE MONCEAU 75008 PARIS;TIEDE;40;40.0
56669;940696909;KHALED IKHELEF;PRIVE;PRIV_BUREAU;1;1;PANTIN;93;CHEZ INSER ASAF N 190197 1 RUE ETIENNE MARCEL 93500 PANTIN;TIEDE;40;40.0
56670;940708118;SANDRA IBRAHIM;PRIVE;PRIV_BUREAU;1;1;BAGNOLET;93;47 AVENUE DU GENERAL DE GAULLE 93170 BAGNOLET;TIEDE;40;40.0
56671;940735145;BRANDON VANDEPLASSCHE (SAFTI IMMOBILIER VAN DE PLASSCHE);PRIVE;IMMO_AGENCE;1;1;PARIS;75;122 RUE AMELOT 75011 PARIS;TIEDE;40;40.0
56672;940750276;MC PARIS;PRIVE;PRIV_BUREAU;1;1;PARIS;75;103 RUE DE BELLEVILLE 75019 PARIS;TIEDE;40;40.0
56673;940756133;AMEL BOUDJELLAL;PRIVE;PRIV_BUREAU;1;1;PARIS;75;121 RUE MANIN 75019 PARIS;TIEDE;40;40.0
56674;940774805;FDR LAFFITTE;PRIVE;PRIV_RESTAURANT;1;1;PARIS;75;22 RUE LAFFITTE 75009 PARIS;TIEDE;40;40.0
